vehicle_id,model,chemistry,capacity_kwh,cycle_number,odometer_km,avg_temperature_c,max_temperature_c,fast_charge_ratio,depth_of_discharge,c_rate,internal_resistance_mohm,cell_voltage_variance,cumulative_kwh_throughput,state_of_health,remaining_useful_life_cycles,is_anomaly
EV-101,Tesla Model Y Long Range,NMC 811,78.1,44,1752,38.09,44.6,0.323,0.88,1.16,1.493,0.0091,5593.5,97.33,450,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,45,1937,35.1,48.76,0.244,0.888,1.04,1.895,0.0081,5774.5,97.29,452,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,46,1784,34.52,45.51,0.382,0.864,1.24,1.896,0.0098,5743.2,97.25,454,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,47,1808,42.65,49.15,0.338,0.861,1.18,1.899,0.0093,5845.3,97.17,451,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,48,1951,35.64,40.23,0.322,0.929,1.15,1.501,0.0092,6441.5,97.12,452,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,49,2076,38.56,49.13,0.327,0.869,1.16,1.903,0.0093,6153.9,97.06,451,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,50,2002,37.51,43.1,0.456,0.878,1.35,1.505,0.0108,6342.6,97.01,450,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,51,2228,36.93,47.43,0.378,0.893,1.24,1.907,0.0099,6582.9,96.95,450,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,52,2132,38.27,42.43,0.239,0.866,1.03,1.508,0.0083,6503.6,96.9,451,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,53,2216,40.83,54.27,0.44,0.888,1.33,1.911,0.0107,6798.3,96.83,447,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,54,2314,41.15,50.89,0.351,0.894,1.2,1.914,0.0097,6972.0,96.75,445,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,55,2160,39.74,45.81,0.366,0.909,1.22,1.916,0.0099,7227.1,96.69,442,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,56,2348,38.28,48.46,0.396,0.863,1.27,1.918,0.0103,6981.1,96.63,442,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,57,2285,35.2,44.16,0.421,0.846,1.3,1.52,0.0106,6966.7,96.58,443,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,58,2401,37.26,46.74,0.302,0.889,1.12,1.921,0.0092,7448.4,96.53,443,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,59,2440,37.85,47.66,0.424,0.891,1.31,1.923,0.0107,7597.1,96.47,442,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,60,2415,34.33,45.73,0.316,0.898,1.15,1.925,0.0094,7787.4,96.43,444,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,61,2668,33.17,38.17,0.327,0.973,1.16,1.527,0.0096,8575.4,96.39,445,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,62,2535,40.45,54.02,0.301,0.863,1.12,1.929,0.0093,7731.0,96.32,443,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,63,2751,38.11,47.64,0.301,0.875,1.12,1.931,0.0093,7964.1,96.27,443,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,64,2814,38.28,51.59,0.303,0.865,1.13,1.932,0.0093,7999.4,96.22,443,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,65,2556,39.38,51.76,0.434,0.887,1.32,1.935,0.0109,8334.9,96.15,441,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,66,2600,37.38,42.84,0.348,0.902,1.19,1.537,0.0099,8600.9,96.09,440,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,67,2686,37.72,50.79,0.396,0.882,1.27,1.939,0.0105,8542.9,96.04,440,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,68,2685,43.89,51.67,0.366,0.87,1.22,1.942,0.0102,8552.1,95.96,436,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,69,2939,35.88,45.6,0.307,0.819,1.13,1.943,0.0095,8165.8,95.91,437,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,70,2828,39.35,50.16,0.269,0.892,1.07,1.945,0.0091,9021.6,95.86,436,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,71,2934,29.85,41.87,0.301,0.874,1.12,1.546,0.0095,8965.9,95.82,438,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,72,2845,38.43,51.68,0.401,0.867,1.27,1.948,0.0107,9022.8,95.76,437,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,73,3079,36.36,43.31,0.32,0.882,1.15,1.55,0.0098,9301.5,95.71,437,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,74,2837,35.63,48.78,0.316,0.918,1.14,1.952,0.0097,9820.1,95.67,438,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,75,2953,34.58,45.05,0.3,0.868,1.12,1.953,0.0096,9409.4,95.63,439,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,76,2902,33.77,40.37,0.319,0.851,1.15,1.554,0.0098,9349.2,95.59,440,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,77,3360,33.15,38.48,0.311,0.827,1.14,1.556,0.0097,9204.4,95.55,442,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,78,3374,33.3,46.5,0.377,0.926,1.24,1.957,0.0105,10434.7,95.51,443,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,79,3180,41.55,50.36,0.282,0.881,1.09,1.959,0.0094,10056.5,95.44,441,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,80,3070,42.14,54.43,0.321,0.857,1.15,1.962,0.0099,9904.5,95.37,438,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,81,3445,39.27,49.12,0.361,0.933,1.21,1.964,0.0104,10915.7,95.31,436,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,82,3251,36.31,42.36,0.353,0.835,1.2,1.566,0.0104,9890.9,95.26,437,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,83,3560,27.88,40.19,0.36,0.868,1.21,1.567,0.0105,10404.7,95.23,438,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,84,3587,41.98,50.78,0.33,0.888,1.17,1.97,0.0101,10774.6,95.15,436,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,85,3554,39.51,53.32,0.401,0.891,1.27,1.972,0.011,10944.0,95.09,434,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,86,3500,38.96,50.22,0.384,0.849,1.25,1.974,0.0108,10553.2,95.03,433,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,87,3745,43.69,55.66,0.33,0.891,1.17,1.977,0.0102,11205.1,94.95,429,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,88,3650,36.83,44.3,0.355,0.879,1.2,1.578,0.0106,11178.7,94.9,429,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,89,3478,45.46,53.46,0.368,0.813,1.22,1.981,0.0107,10460.7,94.82,426,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,90,3945,42.51,55.25,0.288,0.853,1.1,1.984,0.0098,11089.3,94.75,424,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,91,3757,35.82,43.3,0.275,0.89,1.08,1.585,0.0097,11708.2,94.71,424,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,92,3678,40.32,53.26,0.396,0.811,1.27,1.987,0.0112,10780.1,94.65,423,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,93,3744,43.68,52.8,0.312,0.867,1.14,1.99,0.0102,11652.0,94.57,420,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,94,4093,35.72,49.59,0.334,0.881,1.17,1.992,0.0105,11962.7,94.52,420,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,95,3685,43.98,48.6,0.382,0.852,1.24,1.995,0.0111,11693.9,94.44,417,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,96,4147,39.74,51.24,0.356,0.901,1.21,1.997,0.0108,12502.4,94.38,416,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,97,4175,38.36,44.18,0.285,0.826,1.1,1.598,0.01,11570.6,94.33,416,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,98,4002,35.27,41.6,0.319,0.878,1.15,1.6,0.0104,12426.6,94.29,416,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,99,4110,46.72,58.09,0.411,0.836,1.29,2.003,0.0115,11960.0,94.19,412,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,100,4164,41.02,48.4,0.312,0.815,1.14,2.005,0.0104,11777.4,94.13,411,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,101,4059,39.68,43.76,0.343,0.826,1.19,1.607,0.0108,12057.0,94.08,410,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,102,3910,37.97,42.85,0.334,0.911,1.17,1.609,0.0107,13426.1,94.02,409,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,103,4244,44.08,56.28,0.383,0.88,1.25,2.012,0.0113,13091.9,93.93,406,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,104,4395,37.91,43.97,0.34,0.913,1.18,1.614,0.0108,13713.4,93.88,405,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,105,4308,44.15,55.82,0.375,0.851,1.23,2.017,0.0113,12909.1,93.8,402,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,106,4316,39.82,49.76,0.357,0.869,1.21,2.019,0.0111,13315.5,93.74,401,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,107,4067,41.31,46.19,0.443,0.935,1.34,2.022,0.0122,14453.1,93.65,398,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,108,4173,34.56,44.62,0.293,0.873,1.11,1.624,0.0104,13625.9,93.61,399,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,109,4390,40.56,54.47,0.366,0.895,1.22,2.026,0.0113,14090.1,93.55,397,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,110,4726,39.22,43.7,0.336,0.881,1.18,1.628,0.011,13999.9,93.49,396,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,111,4822,37.38,43.74,0.382,0.894,1.24,1.63,0.0115,14345.8,93.43,395,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,112,4735,33.41,44.24,0.366,0.9,1.22,1.631,0.0114,14563.5,93.39,396,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,113,4559,31.43,41.21,0.356,0.9,1.21,1.633,0.0113,14686.4,93.35,397,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,114,4627,39.34,45.63,0.419,0.853,1.3,2.035,0.012,14049.1,93.29,395,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,115,4881,36.35,49.14,0.404,0.849,1.28,2.036,0.0119,14105.7,93.24,395,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,116,4550,41.61,53.4,0.369,0.9,1.23,2.039,0.0115,15087.6,93.17,393,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,117,4766,37.03,46.4,0.341,0.931,1.18,2.041,0.0112,15731.3,93.12,392,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,118,4773,45.96,55.36,0.356,0.877,1.21,2.044,0.0114,14952.4,93.02,389,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,119,4766,41.24,53.51,0.41,0.935,1.29,2.047,0.0121,16081.9,92.95,387,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,120,5216,34.88,41.76,0.422,0.863,1.3,1.648,0.0123,14965.4,92.9,387,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,121,4614,36.2,49.38,0.387,0.847,1.25,2.05,0.0119,14812.4,92.85,386,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,122,4692,40.45,48.19,0.354,0.912,1.2,2.053,0.0115,16067.3,92.79,385,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,123,4841,39.19,46.51,0.312,0.86,1.14,2.054,0.011,15292.4,92.73,384,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,124,5298,42.33,53.77,0.324,0.828,1.16,2.057,0.0112,14832.0,92.66,383,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,125,5110,40.93,54.16,0.298,0.883,1.12,2.059,0.0109,15942.8,92.6,381,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,126,4975,40.5,44.83,0.331,0.88,1.17,1.661,0.0113,16024.1,92.53,380,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,127,5218,35.46,41.66,0.284,0.884,1.1,1.663,0.0108,16215.0,92.49,380,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,128,5274,40.17,49.74,0.389,0.874,1.25,2.065,0.0121,16168.4,92.43,379,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,129,5172,35.38,43.65,0.315,0.848,1.14,1.667,0.0112,15806.3,92.39,379,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,130,5398,35.66,43.44,0.263,0.943,1.07,1.668,0.0106,17713.4,92.34,379,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,131,5579,46.27,55.08,0.395,0.845,1.26,2.071,0.0122,16000.2,92.25,375,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,132,5231,37.38,42.13,0.441,0.866,1.33,1.673,0.0128,16524.0,92.19,375,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,133,5457,42.07,48.61,0.347,0.904,1.19,2.076,0.0117,17369.8,92.12,373,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,134,5539,40.09,49.79,0.235,0.824,1.02,2.078,0.0104,15955.4,92.06,372,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,135,5894,38.93,51.0,0.387,0.894,1.25,2.08,0.0122,17439.0,92.0,371,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,136,5684,35.24,42.48,0.347,0.867,1.19,1.681,0.0118,17038.1,91.96,371,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,137,5482,42.9,56.0,0.378,0.889,1.24,2.084,0.0122,17604.4,91.88,369,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,138,5529,42.23,46.57,0.391,0.862,1.26,2.087,0.0124,17179.4,91.81,367,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,139,5377,36.91,50.66,0.312,0.913,1.14,2.089,0.0115,18334.3,91.76,366,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,140,5727,38.8,47.51,0.367,0.884,1.22,2.091,0.0121,17879.3,91.7,365,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,141,5714,37.04,43.22,0.429,0.878,1.31,1.692,0.0129,17886.7,91.64,365,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,142,6090,42.83,55.06,0.424,0.908,1.31,2.095,0.0129,18638.5,91.56,362,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,143,5554,37.75,48.95,0.305,0.875,1.13,2.097,0.0115,18084.0,91.51,362,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,144,6018,34.14,45.46,0.215,0.848,0.99,2.098,0.0104,17651.5,91.47,362,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,145,5817,39.11,50.82,0.481,0.869,1.39,2.101,0.0136,18203.5,91.41,361,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,146,5930,38.44,43.13,0.401,0.88,1.27,1.703,0.0127,18558.7,91.35,360,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,147,5705,40.19,48.16,0.355,0.888,1.2,2.105,0.0122,18867.4,91.28,358,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,148,6371,38.14,47.54,0.35,0.823,1.2,2.107,0.0121,17592.7,91.23,358,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,149,6292,32.31,39.82,0.362,0.844,1.21,1.708,0.0123,18167.5,91.2,358,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,150,5702,45.14,49.9,0.326,0.847,1.16,2.111,0.0119,18357.2,91.12,356,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,151,6606,40.26,49.47,0.328,0.856,1.16,2.113,0.012,18666.6,91.06,355,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,152,6357,42.92,54.51,0.394,0.896,1.26,2.116,0.0128,19680.0,90.98,353,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,153,6731,39.71,44.15,0.411,0.906,1.29,1.718,0.013,20033.0,90.91,351,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,154,6527,46.06,53.18,0.324,0.838,1.16,2.121,0.012,18642.2,90.83,349,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,155,6313,42.43,53.88,0.334,0.871,1.17,2.124,0.0122,19500.3,90.76,348,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,156,6452,39.28,49.78,0.325,0.941,1.16,2.126,0.0121,21211.8,90.69,346,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,157,6723,31.5,39.55,0.394,0.874,1.26,1.727,0.0129,19822.6,90.65,346,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,158,6408,40.72,52.1,0.408,0.937,1.28,2.13,0.0131,21382.0,90.58,345,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,159,6408,39.13,43.13,0.333,0.905,1.17,1.732,0.0123,20796.0,90.52,344,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,160,6168,36.53,43.25,0.342,0.953,1.19,1.734,0.0124,22037.7,90.46,343,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,161,6687,33.09,45.62,0.358,0.813,1.21,2.135,0.0126,18907.4,90.43,343,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,162,6536,37.58,42.03,0.328,0.889,1.16,1.737,0.0123,20812.2,90.38,343,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,163,7077,38.94,51.79,0.311,0.899,1.14,2.139,0.0121,21182.1,90.32,342,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,164,7049,36.57,48.95,0.346,0.871,1.19,2.14,0.0125,20636.0,90.27,341,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,165,6861,39.82,45.98,0.323,0.872,1.16,2.143,0.0123,20794.1,90.21,340,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,166,7300,39.78,48.93,0.403,0.824,1.28,2.145,0.0133,19772.5,90.15,339,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,167,7207,42.61,46.96,0.339,0.904,1.18,2.147,0.0125,21805.8,90.08,337,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,168,6428,36.31,43.04,0.378,0.808,1.24,1.749,0.013,19612.7,90.03,337,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,169,6471,36.13,57.61,0.369,0.869,1.22,2.153,0.038,21227.4,89.92,333,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,170,7471,39.25,44.34,0.392,0.892,1.26,1.755,0.0133,21907.0,89.85,332,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,171,7250,44.69,54.13,0.389,0.876,1.25,2.158,0.0133,21654.0,89.77,330,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,172,6701,39.24,45.69,0.384,0.908,1.25,2.16,0.0132,22575.2,89.7,329,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,173,7057,35.08,47.89,0.285,0.853,1.1,2.162,0.0121,21323.5,89.66,329,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,174,7401,40.84,67.49,0.373,0.859,1.23,2.167,0.0382,21598.1,89.5,323,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,175,7045,37.36,46.96,0.304,0.857,1.13,2.169,0.0124,21666.8,89.45,322,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,176,7575,36.21,40.39,0.314,0.864,1.14,1.771,0.0125,21961.5,89.41,322,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,177,7732,40.18,45.92,0.284,0.863,1.1,2.173,0.0122,22080.2,89.35,321,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,178,6825,37.18,48.27,0.377,0.89,1.24,2.175,0.0133,22891.1,89.3,320,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,179,7201,34.69,39.34,0.444,0.853,1.34,1.776,0.0142,22065.1,89.25,320,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,180,7346,41.62,45.63,0.413,0.858,1.29,2.179,0.0138,22322.8,89.18,319,0
EV-101,Tesla Model Y Long Range,NMC 811,78.1,181,7127,37.03,49.43,0.348,0.91,1.19,2.18,0.0131,23806.9,89.13,318,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,182,7746,39.86,52.44,0.387,0.888,1.25,2.183,0.0136,23358.5,89.07,317,1
EV-101,Tesla Model Y Long Range,NMC 811,78.1,183,7907,40.99,52.45,0.251,0.858,1.05,2.185,0.012,22695.6,89.01,316,1
